"Time","Current power/SENSOR"
2023-04-09 09:00:50,0.00 A
2023-04-09 09:01:00,0.00 A
2023-04-09 09:01:10,0.00 A
2023-04-09 09:01:20,0.00 A
2023-04-09 09:01:30,0.00 A
2023-04-09 09:01:40,0.00 A
2023-04-09 09:01:50,0.00 A
2023-04-09 09:02:00,0.00 A
2023-04-09 09:02:10,0.00 A
2023-04-09 09:02:20,0.00 A
2023-04-09 09:02:30,0.00 A
2023-04-09 09:02:40,0.00 A
2023-04-09 09:02:50,0.00 A
2023-04-09 09:03:00,18.00 mA
2023-04-09 09:03:10,73.00 mA
2023-04-09 09:03:20,74.00 mA
2023-04-09 09:03:30,74.00 mA
2023-04-09 09:03:40,74.00 mA
2023-04-09 09:03:50,74.00 mA
2023-04-09 09:04:00,74.00 mA
2023-04-09 09:04:10,74.00 mA
2023-04-09 09:04:20,74.00 mA
2023-04-09 09:04:30,74.00 mA
2023-04-09 09:04:40,74.00 mA
2023-04-09 09:04:50,74.00 mA
2023-04-09 09:05:00,74.00 mA
2023-04-09 09:05:10,74.00 mA
2023-04-09 09:05:20,74.00 mA
2023-04-09 09:05:30,74.00 mA
2023-04-09 09:05:40,73.00 mA
2023-04-09 09:05:50,73.00 mA
2023-04-09 09:06:00,74.00 mA
2023-04-09 09:06:10,73.00 mA
2023-04-09 09:06:20,74.00 mA
2023-04-09 09:06:30,74.00 mA
2023-04-09 09:06:40,74.00 mA
2023-04-09 09:06:50,74.00 mA
2023-04-09 09:07:00,75.00 mA
2023-04-09 09:07:10,75.00 mA
2023-04-09 09:07:20,83.00 mA
2023-04-09 09:07:30,83.00 mA
2023-04-09 09:07:40,76.00 mA
2023-04-09 09:07:50,76.00 mA
2023-04-09 09:08:00,76.00 mA
2023-04-09 09:08:10,77.00 mA
2023-04-09 09:08:20,77.00 mA
2023-04-09 09:08:30,78.00 mA
2023-04-09 09:08:40,78.00 mA
2023-04-09 09:08:50,77.00 mA
2023-04-09 09:09:00,76.00 mA
2023-04-09 09:09:10,77.00 mA
2023-04-09 09:09:20,78.00 mA
2023-04-09 09:09:30,77.00 mA
2023-04-09 09:09:40,77.00 mA
2023-04-09 09:09:50,77.00 mA
2023-04-09 09:10:00,76.00 mA
2023-04-09 09:10:10,76.00 mA
2023-04-09 09:10:20,77.00 mA
2023-04-09 09:10:30,76.00 mA
2023-04-09 09:10:40,77.00 mA
2023-04-09 09:10:50,78.00 mA
2023-04-09 09:11:00,77.00 mA
2023-04-09 09:11:10,78.00 mA
