"Time","Current power/SENSOR"
2023-04-09 04:37:30,190.00 mA
2023-04-09 04:37:40,187.00 mA
2023-04-09 04:37:50,187.00 mA
2023-04-09 04:38:00,188.00 mA
2023-04-09 04:38:10,184.00 mA
2023-04-09 04:38:20,187.00 mA
2023-04-09 04:38:30,188.00 mA
2023-04-09 04:38:40,189.00 mA
2023-04-09 04:38:50,191.00 mA
2023-04-09 04:39:00,190.00 mA
2023-04-09 04:39:10,188.00 mA
2023-04-09 04:39:20,190.00 mA
2023-04-09 04:39:30,193.00 mA
2023-04-09 04:39:40,199.00 mA
2023-04-09 04:39:50,193.00 mA
2023-04-09 04:40:00,200.00 mA
2023-04-09 04:40:10,197.00 mA
2023-04-09 04:40:20,184.00 mA
2023-04-09 04:40:30,190.00 mA
2023-04-09 04:40:40,191.00 mA
2023-04-09 04:40:50,194.00 mA
2023-04-09 04:41:00,196.00 mA
2023-04-09 04:41:10,194.00 mA
2023-04-09 04:41:20,194.00 mA
2023-04-09 04:41:30,199.00 mA
2023-04-09 04:41:40,195.00 mA
2023-04-09 04:41:50,195.00 mA
2023-04-09 04:42:00,197.00 mA
2023-04-09 04:42:10,193.00 mA
2023-04-09 04:42:20,195.00 mA
2023-04-09 04:42:30,190.00 mA
2023-04-09 04:42:40,183.00 mA
2023-04-09 04:42:50,190.00 mA
2023-04-09 04:43:00,185.00 mA
2023-04-09 04:43:10,183.00 mA
2023-04-09 04:43:20,191.00 mA
2023-04-09 04:43:30,183.00 mA
2023-04-09 04:43:40,182.00 mA
2023-04-09 04:43:50,190.00 mA
2023-04-09 04:44:00,184.00 mA
2023-04-09 04:44:10,182.00 mA
2023-04-09 04:44:20,186.00 mA
2023-04-09 04:44:30,184.00 mA
2023-04-09 04:44:40,184.00 mA
2023-04-09 04:44:50,181.00 mA
2023-04-09 04:45:00,187.00 mA
2023-04-09 04:45:10,184.00 mA
2023-04-09 04:45:20,191.00 mA
2023-04-09 04:45:30,185.00 mA
2023-04-09 04:45:40,181.00 mA
2023-04-09 04:45:50,188.00 mA
2023-04-09 04:46:00,111.00 mA
2023-04-09 04:46:10,107.00 mA
2023-04-09 04:46:20,102.00 mA
2023-04-09 04:46:30,105.00 mA
2023-04-09 04:46:40,107.00 mA
2023-04-09 04:46:50,99.00 mA
2023-04-09 04:47:00,114.00 mA
2023-04-09 04:47:10,154.00 mA
2023-04-09 04:47:20,161.00 mA
2023-04-09 04:47:30,162.00 mA
2023-04-09 04:47:40,166.00 mA
2023-04-09 04:47:50,158.00 mA
2023-04-09 04:48:00,159.00 mA
2023-04-09 04:48:10,158.00 mA
2023-04-09 04:48:20,159.00 mA
2023-04-09 04:48:30,157.00 mA
2023-04-09 04:48:40,161.00 mA
2023-04-09 04:48:50,159.00 mA
2023-04-09 04:49:00,161.00 mA
2023-04-09 04:49:10,160.00 mA
2023-04-09 04:49:20,157.00 mA
2023-04-09 04:49:30,156.00 mA
2023-04-09 04:49:40,180.00 mA
2023-04-09 04:49:50,163.00 mA
2023-04-09 04:50:00,167.00 mA
2023-04-09 04:50:10,182.00 mA
2023-04-09 04:50:20,165.00 mA
2023-04-09 04:50:30,167.00 mA
2023-04-09 04:50:40,166.00 mA
2023-04-09 04:50:50,164.00 mA
2023-04-09 04:51:00,166.00 mA
2023-04-09 04:51:10,179.00 mA
2023-04-09 04:51:20,174.00 mA
2023-04-09 04:51:30,166.00 mA
2023-04-09 04:51:40,165.00 mA
2023-04-09 04:51:50,178.00 mA
2023-04-09 04:52:00,178.00 mA
2023-04-09 04:52:10,179.00 mA
2023-04-09 04:52:20,177.00 mA
2023-04-09 04:52:30,153.00 mA
2023-04-09 04:52:40,150.00 mA
2023-04-09 04:52:50,138.00 mA
2023-04-09 04:53:00,149.00 mA
2023-04-09 04:53:10,158.00 mA
2023-04-09 04:53:20,151.00 mA
2023-04-09 04:53:30,160.00 mA
2023-04-09 04:53:40,151.00 mA
2023-04-09 04:53:50,159.00 mA
2023-04-09 04:54:00,152.00 mA
2023-04-09 04:54:10,152.00 mA
2023-04-09 04:54:20,143.00 mA
2023-04-09 04:54:30,152.00 mA
2023-04-09 04:54:40,149.00 mA
2023-04-09 04:54:50,144.00 mA
2023-04-09 04:55:00,143.00 mA
2023-04-09 04:55:10,142.00 mA
2023-04-09 04:55:20,143.00 mA
2023-04-09 04:55:30,142.00 mA
2023-04-09 04:55:40,142.00 mA
2023-04-09 04:55:50,143.00 mA
2023-04-09 04:56:00,148.00 mA
2023-04-09 04:56:10,146.00 mA
2023-04-09 04:56:20,150.00 mA
2023-04-09 04:56:30,150.00 mA
2023-04-09 04:56:40,146.00 mA
2023-04-09 04:56:50,139.00 mA
2023-04-09 04:57:00,140.00 mA
