voltage(V),current(mA),battery_percent,battery_temperature(Celsius),remaining_battery_charge(mAh),battery_capacity(mAh),battery_technology
3.921,-4808,3,39,132.224,4370,Li-ion
3.921,-4869,3,39,132.224,4370,Li-ion
3.921,-4893,3,39,132.224,4370,Li-ion
3.921,-4565,3,39,132.224,4370,Li-ion
3.921,-4927,3,39,132.224,4370,Li-ion
3.921,-4920,3,39,132.224,4370,Li-ion
3.921,-4871,3,39,132.224,4370,Li-ion
3.932,-4945,3,39.1,148.752,4370,Li-ion
3.932,-4830,3,39.1,148.752,4370,Li-ion
3.932,-4852,3,39.1,148.752,4370,Li-ion
3.932,-4897,3,39.1,148.752,4370,Li-ion
3.932,-4860,3,39.1,148.752,4370,Li-ion
3.932,-4825,3,39.1,148.752,4370,Li-ion
3.932,-4638,3,39.1,148.752,4370,Li-ion
3.932,-4861,3,39.1,148.752,4370,Li-ion
3.932,-4835,3,39.1,148.752,4370,Li-ion
3.932,-4830,3,39.1,148.752,4370,Li-ion
3.935,-4830,4,39.1,161.148,4370,Li-ion
3.935,-4885,4,39.1,161.148,4370,Li-ion
3.935,-4855,4,39.1,161.148,4370,Li-ion
3.935,-4876,4,39.1,161.148,4370,Li-ion
3.935,-4819,4,39.1,161.148,4370,Li-ion
3.935,-4810,4,39.1,161.148,4370,Li-ion
3.935,-4831,4,39.1,161.148,4370,Li-ion
3.935,-4887,4,39.1,161.148,4370,Li-ion
3.935,-4830,4,39.1,161.148,4370,Li-ion
3.935,-4876,4,39.1,161.148,4370,Li-ion
3.941,-4821,4,39.2,173.544,4370,Li-ion
3.941,-4830,4,39.2,173.544,4370,Li-ion
3.941,-4878,4,39.2,173.544,4370,Li-ion
3.941,-4598,4,39.2,173.544,4370,Li-ion
3.941,-4926,4,39.2,173.544,4370,Li-ion
3.941,-4864,4,39.2,173.544,4370,Li-ion
3.941,-4808,4,39.2,173.544,4370,Li-ion
3.941,-4805,4,39.2,173.544,4370,Li-ion
3.941,-4853,4,39.2,173.544,4370,Li-ion
3.941,-4907,4,39.2,173.544,4370,Li-ion
3.946,-4412,4,39.3,190.072,4370,Li-ion
3.946,-4792,4,39.3,190.072,4370,Li-ion
3.946,-4785,4,39.3,190.072,4370,Li-ion
3.946,-4835,4,39.3,190.072,4370,Li-ion
3.946,-4790,4,39.3,190.072,4370,Li-ion
3.946,-4943,4,39.3,190.072,4370,Li-ion
3.946,-4845,4,39.3,190.072,4370,Li-ion
3.946,-4880,4,39.3,190.072,4370,Li-ion
3.946,-4707,4,39.3,190.072,4370,Li-ion
3.946,-4725,4,39.3,190.072,4370,Li-ion
3.945,-4696,5,39.4,202.468,4370,Li-ion
3.945,-4800,5,39.4,202.468,4370,Li-ion
3.945,-4905,5,39.4,202.468,4370,Li-ion
3.945,-4848,5,39.4,202.468,4370,Li-ion
3.945,-4877,5,39.4,202.468,4370,Li-ion
3.945,-4922,5,39.4,202.468,4370,Li-ion
3.945,-4785,5,39.4,202.468,4370,Li-ion
3.945,-4757,5,39.4,202.468,4370,Li-ion
3.945,-4931,5,39.4,202.468,4370,Li-ion
3.949,-4579,5,39.4,218.996,4370,Li-ion
3.949,-4881,5,39.4,218.996,4370,Li-ion
3.949,-4842,5,39.4,218.996,4370,Li-ion
3.949,-4438,5,39.4,218.996,4370,Li-ion
3.949,-4645,5,39.4,218.996,4370,Li-ion
3.949,-4757,5,39.4,218.996,4370,Li-ion
3.949,-4809,5,39.4,218.996,4370,Li-ion
3.949,-4825,5,39.4,218.996,4370,Li-ion
3.949,-4882,5,39.4,218.996,4370,Li-ion
3.949,-4910,5,39.4,218.996,4370,Li-ion
3.951,-4786,5,39.5,231.392,4370,Li-ion
3.951,-4767,5,39.5,231.392,4370,Li-ion
3.951,-4917,5,39.5,231.392,4370,Li-ion
3.951,-4867,5,39.5,231.392,4370,Li-ion
3.951,-4881,5,39.5,231.392,4370,Li-ion
3.951,-4914,5,39.5,231.392,4370,Li-ion
3.951,-4860,5,39.5,231.392,4370,Li-ion
3.951,-4791,5,39.5,231.392,4370,Li-ion
3.951,-4810,5,39.5,231.392,4370,Li-ion
3.951,-4823,5,39.5,231.392,4370,Li-ion
3.951,-4818,6,39.6,243.788,4370,Li-ion
3.951,-4896,6,39.6,243.788,4370,Li-ion
3.951,-4882,6,39.6,243.788,4370,Li-ion
3.951,-4888,6,39.6,243.788,4370,Li-ion
3.951,-4656,6,39.6,243.788,4370,Li-ion
3.951,-4873,6,39.6,243.788,4370,Li-ion
3.951,-4833,6,39.6,243.788,4370,Li-ion
3.951,-4972,6,39.6,243.788,4370,Li-ion
3.951,-4830,6,39.6,243.788,4370,Li-ion
3.951,-4873,6,39.6,243.788,4370,Li-ion
3.955,-4724,6,39.7,260.316,4370,Li-ion
3.955,-4854,6,39.7,260.316,4370,Li-ion
3.955,-4926,6,39.7,260.316,4370,Li-ion
3.955,-4960,6,39.7,260.316,4370,Li-ion
3.955,-4883,6,39.7,260.316,4370,Li-ion
3.955,-4900,6,39.7,260.316,4370,Li-ion
3.955,-4956,6,39.7,260.316,4370,Li-ion
3.955,-4893,6,39.7,260.316,4370,Li-ion
3.955,-4790,6,39.7,260.316,4370,Li-ion
3.955,-4830,6,39.7,260.316,4370,Li-ion
3.958,-4720,6,39.7,272.712,4370,Li-ion
3.958,-4958,6,39.7,272.712,4370,Li-ion
3.958,-4874,6,39.7,272.712,4370,Li-ion
3.958,-4881,6,39.7,272.712,4370,Li-ion
3.958,-4832,6,39.7,272.712,4370,Li-ion
3.958,-4828,6,39.7,272.712,4370,Li-ion
3.958,-4791,6,39.7,272.712,4370,Li-ion
3.958,-4875,6,39.7,272.712,4370,Li-ion
3.958,-4738,6,39.7,272.712,4370,Li-ion
3.958,-4810,7,39.8,285.108,4370,Li-ion
3.958,-4889,7,39.8,285.108,4370,Li-ion
3.958,-4919,7,39.8,285.108,4370,Li-ion
3.958,-4849,7,39.8,285.108,4370,Li-ion
3.958,-4805,7,39.8,285.108,4370,Li-ion
3.958,-4753,7,39.8,285.108,4370,Li-ion
3.958,-4784,7,39.8,285.108,4370,Li-ion
3.958,-4781,7,39.8,285.108,4370,Li-ion
3.958,-4801,7,39.8,285.108,4370,Li-ion
3.958,-4735,7,39.8,285.108,4370,Li-ion
3.959,-4820,7,39.9,301.636,4370,Li-ion
3.959,-4800,7,39.9,301.636,4370,Li-ion
3.959,-4827,7,39.9,301.636,4370,Li-ion
3.959,-4710,7,39.9,301.636,4370,Li-ion
3.959,-4754,7,39.9,301.636,4370,Li-ion
3.959,-4817,7,39.9,301.636,4370,Li-ion
3.959,-4815,7,39.9,301.636,4370,Li-ion
3.959,-4673,7,39.9,301.636,4370,Li-ion
3.959,-4914,7,39.9,301.636,4370,Li-ion
3.959,-4850,7,39.9,301.636,4370,Li-ion
3.961,-4835,7,39.9,314.032,4370,Li-ion
3.961,-4821,7,39.9,314.032,4370,Li-ion
3.961,-4529,7,39.9,314.032,4370,Li-ion
3.961,-4841,7,39.9,314.032,4370,Li-ion
3.961,-4658,7,39.9,314.032,4370,Li-ion
3.961,-4909,7,39.9,314.032,4370,Li-ion
3.961,-4697,7,39.9,314.032,4370,Li-ion
3.961,-4846,7,39.9,314.032,4370,Li-ion
3.961,-4818,7,39.9,314.032,4370,Li-ion
3.961,-4846,7,39.9,314.032,4370,Li-ion
3.964,-4846,8,40,326.428,4370,Li-ion
3.964,-4835,8,40,326.428,4370,Li-ion
3.964,-4860,8,40,326.428,4370,Li-ion
3.964,-4921,8,40,326.428,4370,Li-ion
3.964,-4897,8,40,326.428,4370,Li-ion
3.964,-4839,8,40,326.428,4370,Li-ion
3.964,-4814,8,40,326.428,4370,Li-ion
3.964,-4627,8,40,326.428,4370,Li-ion
3.964,-4789,8,40,326.428,4370,Li-ion
3.964,-4906,8,40,326.428,4370,Li-ion
3.966,-4807,8,40.1,342.956,4370,Li-ion
3.966,-4855,8,40.1,342.956,4370,Li-ion
3.966,-4798,8,40.1,342.956,4370,Li-ion
3.966,-4737,8,40.1,342.956,4370,Li-ion
3.966,-4869,8,40.1,342.956,4370,Li-ion
3.966,-4844,8,40.1,342.956,4370,Li-ion
3.966,-4826,8,40.1,342.956,4370,Li-ion
3.966,-4913,8,40.1,342.956,4370,Li-ion
3.966,-4851,8,40.1,342.956,4370,Li-ion
3.968,-4787,9,40.2,355.352,4370,Li-ion
3.968,-4735,9,40.2,355.352,4370,Li-ion
3.968,-4774,9,40.2,355.352,4370,Li-ion
3.968,-4851,9,40.2,355.352,4370,Li-ion
3.968,-4853,9,40.2,355.352,4370,Li-ion
