"Time","Current power/SENSOR"
2023-04-10 02:43:00,28.00 mA
2023-04-10 02:43:10,28.00 mA
2023-04-10 02:43:20,27.00 mA
2023-04-10 02:43:30,27.00 mA
2023-04-10 02:43:40,27.00 mA
2023-04-10 02:43:50,27.00 mA
2023-04-10 02:44:00,27.00 mA
2023-04-10 02:44:10,27.00 mA
2023-04-10 02:44:20,27.00 mA
2023-04-10 02:44:30,27.00 mA
2023-04-10 02:44:40,27.00 mA
2023-04-10 02:44:50,27.00 mA
2023-04-10 02:45:00,27.00 mA
2023-04-10 02:45:10,26.00 mA
2023-04-10 02:45:20,26.00 mA
2023-04-10 02:45:30,26.00 mA
2023-04-10 02:45:40,26.00 mA
2023-04-10 02:45:50,27.00 mA
2023-04-10 02:46:00,26.00 mA
2023-04-10 02:46:10,26.00 mA
2023-04-10 02:46:20,27.00 mA
2023-04-10 02:46:30,26.00 mA
2023-04-10 02:46:40,26.00 mA
2023-04-10 02:46:50,27.00 mA
2023-04-10 02:47:00,27.00 mA
2023-04-10 02:47:10,27.00 mA
2023-04-10 02:47:20,26.00 mA
2023-04-10 02:47:30,26.00 mA
2023-04-10 02:47:40,26.00 mA
2023-04-10 02:47:50,26.00 mA
2023-04-10 02:48:00,26.00 mA
2023-04-10 02:48:10,25.00 mA
2023-04-10 02:48:20,26.00 mA
2023-04-10 02:48:30,25.00 mA
2023-04-10 02:48:40,26.00 mA
2023-04-10 02:48:50,25.00 mA
2023-04-10 02:49:00,25.00 mA
2023-04-10 02:49:10,25.00 mA
2023-04-10 02:49:20,25.00 mA
2023-04-10 02:49:30,26.00 mA
2023-04-10 02:49:40,25.00 mA
2023-04-10 02:49:50,25.00 mA
2023-04-10 02:50:00,25.00 mA
2023-04-10 02:50:10,25.00 mA
2023-04-10 02:50:20,25.00 mA
2023-04-10 02:50:30,25.00 mA
2023-04-10 02:50:40,25.00 mA
2023-04-10 02:50:50,25.00 mA
2023-04-10 02:51:00,25.00 mA
2023-04-10 02:51:10,25.00 mA
2023-04-10 02:51:20,25.00 mA
2023-04-10 02:51:30,27.00 mA
2023-04-10 02:51:40,25.00 mA
2023-04-10 02:51:50,24.00 mA
2023-04-10 02:52:00,24.00 mA
2023-04-10 02:52:10,24.00 mA
2023-04-10 02:52:20,24.00 mA
2023-04-10 02:52:30,25.00 mA
2023-04-10 02:52:40,24.00 mA
2023-04-10 02:52:50,24.00 mA
2023-04-10 02:53:00,24.00 mA
2023-04-10 02:53:10,25.00 mA
2023-04-10 02:53:20,24.00 mA
2023-04-10 02:53:30,24.00 mA
2023-04-10 02:53:40,23.00 mA
2023-04-10 02:53:50,24.00 mA
2023-04-10 02:54:00,23.00 mA
2023-04-10 02:54:10,24.00 mA
2023-04-10 02:54:20,23.00 mA
2023-04-10 02:54:30,24.00 mA
2023-04-10 02:54:40,24.00 mA
2023-04-10 02:54:50,23.00 mA
2023-04-10 02:55:00,23.00 mA
2023-04-10 02:55:10,24.00 mA
2023-04-10 02:55:20,23.00 mA
2023-04-10 02:55:30,23.00 mA
2023-04-10 02:55:40,24.00 mA
2023-04-10 02:55:50,23.00 mA
2023-04-10 02:56:00,23.00 mA
2023-04-10 02:56:10,23.00 mA
2023-04-10 02:56:20,23.00 mA
2023-04-10 02:56:30,24.00 mA
2023-04-10 02:56:40,23.00 mA
2023-04-10 02:56:50,23.00 mA
2023-04-10 02:57:00,22.00 mA
2023-04-10 02:57:10,22.00 mA
2023-04-10 02:57:20,23.00 mA
2023-04-10 02:57:30,22.00 mA
2023-04-10 02:57:40,23.00 mA
2023-04-10 02:57:50,23.00 mA
2023-04-10 02:58:00,23.00 mA
2023-04-10 02:58:10,23.00 mA
2023-04-10 02:58:20,23.00 mA
2023-04-10 02:58:30,23.00 mA
2023-04-10 02:58:40,23.00 mA
2023-04-10 02:58:50,22.00 mA
2023-04-10 02:59:00,22.00 mA
2023-04-10 02:59:10,22.00 mA
2023-04-10 02:59:20,22.00 mA
2023-04-10 02:59:30,22.00 mA
2023-04-10 02:59:40,22.00 mA
2023-04-10 02:59:50,22.00 mA
2023-04-10 03:00:00,23.00 mA
2023-04-10 03:00:10,23.00 mA
2023-04-10 03:00:20,23.00 mA
2023-04-10 03:00:30,23.00 mA
2023-04-10 03:00:40,22.00 mA
2023-04-10 03:00:50,22.00 mA
2023-04-10 03:01:00,22.00 mA
2023-04-10 03:01:10,22.00 mA
2023-04-10 03:01:20,22.00 mA
2023-04-10 03:01:30,22.00 mA
2023-04-10 03:01:40,23.00 mA
2023-04-10 03:01:50,22.00 mA
2023-04-10 03:02:00,23.00 mA
2023-04-10 03:02:10,25.00 mA
2023-04-10 03:02:20,24.00 mA
2023-04-10 03:02:30,25.00 mA
2023-04-10 03:02:40,27.00 mA
2023-04-10 03:02:50,24.00 mA
2023-04-10 03:03:00,25.00 mA
2023-04-10 03:03:10,24.00 mA
2023-04-10 03:03:20,24.00 mA
2023-04-10 03:03:30,24.00 mA
2023-04-10 03:03:40,25.00 mA
2023-04-10 03:03:50,24.00 mA
2023-04-10 03:04:00,24.00 mA
2023-04-10 03:04:10,24.00 mA
2023-04-10 03:04:20,24.00 mA
2023-04-10 03:04:30,24.00 mA
2023-04-10 03:04:40,24.00 mA
2023-04-10 03:04:50,24.00 mA
2023-04-10 03:05:00,24.00 mA
2023-04-10 03:05:10,23.00 mA
2023-04-10 03:05:20,22.00 mA
2023-04-10 03:05:30,22.00 mA
2023-04-10 03:05:40,22.00 mA
2023-04-10 03:05:50,22.00 mA
2023-04-10 03:06:00,22.00 mA
2023-04-10 03:06:10,22.00 mA
2023-04-10 03:06:20,22.00 mA
2023-04-10 03:06:30,22.00 mA
2023-04-10 03:06:40,22.00 mA
2023-04-10 03:06:50,22.00 mA
2023-04-10 03:07:00,22.00 mA
2023-04-10 03:07:10,21.00 mA
2023-04-10 03:07:20,21.00 mA
2023-04-10 03:07:30,22.00 mA
2023-04-10 03:07:40,22.00 mA
2023-04-10 03:07:50,22.00 mA
2023-04-10 03:08:00,22.00 mA
